"city","region","country","temperature","wind","uv","time"
"Rome","Lazio","Italy",45,"6.9","1.0","2023-04-10 5:10"
"Paris","Ile-de-France","France",46,"5.6","1.0","2023-04-10 5:10"
"Los Angeles","California","United States of America",60,"2.2","1.0","2023-04-09 20:10"
"Paris","Ile-de-France","France",46,"5.6","1.0","2023-04-10 5:10"
"Casablanca","","Morocco",59,"4.3","1.0","2023-04-10 3:10"
"Mexico City","The Federal District","Mexico",64,"11.9","1.0","2023-04-09 21:10"
"Rome","Lazio","Italy",45,"6.9","1.0","2023-04-10 5:10"
"Rome","Lazio","Italy",45,"6.9","1.0","2023-04-10 5:10"
"Los Angeles","California","United States of America",60,"2.2","1.0","2023-04-09 20:10"
"Casablanca","","Morocco",59,"4.3","1.0","2023-04-10 3:10"
"New York","New York","United States of America",45,"2.2","1.0","2023-04-09 23:11"
"Tokyo","Tokyo","Japan",63,"8.1","5.0","2023-04-10 12:11"
"Hong Kong","","Hong Kong",73,"12.5","6.0","2023-04-10 11:11"
"Sydney","New South Wales","Australia",66,"13.6","5.0","2023-04-10 13:11"
"London","City of London, Greater London","United Kingdom",50,"8.1","1.0","2023-04-10 4:11"
"Casablanca","","Morocco",59,"4.3","1.0","2023-04-10 3:10"
"Cape Town","Western Cape","South Africa",57,"6.9","1.0","2023-04-10 5:11"
"Rome","Lazio","Italy",45,"6.9","1.0","2023-04-10 5:10"
"Moscow","Moscow City","Russia",43,"4.3","3.0","2023-04-10 6:11"
"London","City of London, Greater London","United Kingdom",50,"8.1","1.0","2023-04-10 4:11"
"Mexico City","The Federal District","Mexico",64,"11.9","1.0","2023-04-09 21:10"
"Tokyo","Tokyo","Japan",63,"8.1","5.0","2023-04-10 12:11"
"Bogota","Cundinamarca","Colombia",52,"3.8","1.0","2023-04-09 22:11"
"Cape Town","Western Cape","South Africa",57,"6.9","1.0","2023-04-10 5:11"
"Paris","Ile-de-France","France",46,"5.6","1.0","2023-04-10 5:10"
"Casablanca","","Morocco",59,"4.3","1.0","2023-04-10 3:10"
"Hong Kong","","Hong Kong",73,"12.5","6.0","2023-04-10 11:11"
"Hong Kong","","Hong Kong",73,"12.5","6.0","2023-04-10 11:11"
"Mexico City","The Federal District","Mexico",64,"11.9","1.0","2023-04-09 21:10"
"Casablanca","","Morocco",59,"4.3","1.0","2023-04-10 3:10"
"Miami","Florida","United States of America",74,"8.1","1.0","2023-04-09 23:26"
"Mexico City","The Federal District","Mexico",63,"9.4","1.0","2023-04-09 21:26"
"Casablanca","","Morocco",59,"4.3","1.0","2023-04-10 3:26"
"London","City of London, Greater London","United Kingdom",50,"9.4","1.0","2023-04-10 4:26"
"Hong Kong","","Hong Kong",75,"10.5","6.0","2023-04-10 11:26"
"Paris","Ile-de-France","France",46,"4.3","1.0","2023-04-10 5:26"
"Los Angeles","California","United States of America",55,"2.2","1.0","2023-04-09 20:26"
"London","City of London, Greater London","United Kingdom",50,"9.4","1.0","2023-04-10 4:26"
"Nairobi","Nairobi Area","Kenya",63,"4.3","1.0","2023-04-10 6:26"
"London","City of London, Greater London","United Kingdom",50,"9.4","1.0","2023-04-10 4:26"
"Bogota","Cundinamarca","Colombia",52,"3.8","1.0","2023-04-09 22:26"
"Tokyo","Tokyo","Japan",66,"9.4","5.0","2023-04-10 12:26"
